"item_id","item_name","description","tooltip_desc","image1","image2","price","category_id","cat_also","cat_third","char_class","special","game_name","game_stack","game_color","game_type","spawn_text","rank","sold","date_created"
"13","Hawkwinds Robe","The Hawkwind's robe is an unreal new item in the Ultima Online game and offers players incredible magic bonuses when the robe is worn. Those who purchase the Ultima Online Hawkwind's robe are given extra mana regeneration, spell damage increase, lower mana cost, and lower reagent cost. Buy a UO Hawkwind's robe for the extra LRC stats. One of the best robes in the game right now. Only drops from Roof runs in Shadowguard.

This item does not use up armor/jewelry/talisman slots, just the robe overlay slot.

Mana Regeneration 2
Spell Damage Increase 5%
Lower Mana Cost 10%
Lower Reagent Cost 10%","Mana Regeneration 2
Spell Damage Increase 5%
Lower Mana Cost 10%
Lower Reagent Cost 10%","hawkwindrobe.png","hawkwindrobe.png","3.99","6","30","15","mage","0",,"0","1",,"Roof in Shadowguard. ","0","0","2018-03-13"
"14","1 Plat","Ultima Online Platinum is the newest way to compile 1 billion gold in the game.  UO 1 Plat Gold is what happens now when you have over 1000 million gold. The gold becomes part of the platinum count in your trade window. Order 1 plat worth of Ultima Online gold and we will have it in your pockets in minutes.  Need some high priced Arties, a big house or just want to have 1 billion gold? What you gonna do with all this money? 1,000 million gold = 1 Plat :O No price is too high when you are packing 1 Plat worth of UO gold. UO 1 Plat is available on every shard.","1 Plat is 1,000 million gold","platinum.png","platinum.png","90","1","0","0",,"0",,"0","1",,,"10","0","2018-02-26"
"15","500 Million Gold","The Ultima Online gold we sell here comes as 500 million worth at the discount price of $60 and can arrive on Atlantic immediate or 20 minutes for any other shard.  Just 500 Million, are you sure? Yea that's what I'm talkin' about! You can save a lot of money by buying gold in bulk.  Buy this UO 500 million gold and be loaded in UO. Where will you put all of this UO gold? Add half a plat to your bank balance right now!","500 Million UO Gold","500-million-gold.png","500-million-gold.png","45","1","0","0",,"0",,"0","1",,,"7","0","2018-03-17"
"16","Caster's Luck Suit 2595","This luck suit comes with 2/6 casting speed. Getting a UO luck suit requires many parts and requires a 120 legendary imbuer to complete.  It comes with fill-in pieces and all of these artifacts to complete a top-level luck suit. Get max luck so you can get the max drop quality on your loot.  This is the top-level max luck suit that still allows fast casting. The 190 luck can only be achieved by using the forged metal of artifacts on each piece to complete it. <strong>Please allow up to 24 hours for delivery of suits during busy times.</strong> 

Stats with all artifacts equipped
70/70/70/70/70
2595 Luck 

11 Mana Regen
4 Hit Point Regen
2 Stamina Regen
40 Lower Mana Cost
100 Lower Reagant Cost
40% Defense Chance Increase
2 Faster Casting
6 Faster Cast Recovery
15 Intelligence Bonus

Artifacts Used 
Epaulette Bearing The Crest Of Blackthorn
Tangle 
Yukio's Earrings
Doublet Bearing The Crest Of Blackthorn
Minax Sandals 
Lucky Charm 
Shadow Cloak of Rejuvenation
Leurocian's Mempo Of Fortune
Etoile Bleue and Novo Bleue

*All suits have a 24 hour Delivery time

","70/70/70/70/70
2595 Luck 
Epaulette Bearing The Crest Of Blackthorn
Yukio's Earrings
Doublet Bearing The Crest Of Blackthorn
Lucky Charm 
Minax Sandals  
Shadow Cloak of Rejuvenation  
Leurocian's Mempo Of Fortune
Tangle  
Etoile Bleue and Novo Bleue","maxlucksuit.png","maxlucksuit.png","129.99","7","16","0","tamer","0",,"0","1",,,"4","0","2018-02-26"
"18","Void Mare 2 Slot Untrained","This is a very rare 2 slot spawn of the darkest void hue possible.  These UO void mares do not spawn often and are extremely hard to get with only 2 slots.  Players have begun to transfer over from nightmares to void mares because of the cool look.","New Hue Nightmare
2 Slot most desired","voidmare.png","voidmare.png","19.99","2","0","0","tamer","0",,"0","1",,,"0","0","2024-11-04"
"19","White Cu Untrained","The White Cu is an exotic pet in the Ultima Online game that elven tamers are able to capture, train, and ride. White Cu's are rarest of the ""obtainable"" Cu's apart from the ultima blaze Cu.  They are very cool looking and very hard to get to spawn.  

The 4 rarest cu sidhe colors are: Blaze, White, Ice, Black","White Cu Sidhe Dog","whitecubig.png","whitecubig.png","12.99","2","0","0","tamer","0",,"0","1",,,"0","0","2018-02-25"
"20","Ice Cu Untrained","Ice CuSidhe's are one of the rarest cu colors that spawn and one of the more desired. They are more rare than that red/black/blue spawns. Ultima Online pets like this are much harder to get than the regular colored ones.","2nd Rarest Cu Sidhe","icecubig.png","icecubig.png","9.99","2","0","0","tamer","0",,"0","1",,,"0","0","2018-02-25"
"21","Dread Mare (old)","These dread mares, also known as the dread war horse are <strong>untrained 3 slot</strong> ridable pets that are ready for you to customize and train up!  You will be able to pick it skills the way you want and create the ultimate dread mare. Dreads are rarer than nightmares because they do not spawn in the game any longer. These dread mares usually come trained 5 slot.  The untrained ones are much harder to find and much more expensive but I offer you an amazing deal here. When you say the word trick they do a special ability animation release black smoke clouds around it. When questioned, the game stated that these pets will never be reintroduced again reassuring they will remain rare and finite forever.",,"voidmare.png","voidmare.png","199.99","2","0","0","tamer","0",,"0","1",,NULL,"0","0","2024-10-04"
"22","Mage Suit PVM 104 SDI","Stats on this suit are for Full Suit Without Book equipped. <strong>104% SDI WITHOUT BOOK! </strong> <br> Kill everything with just 1 spell. The amount of spell damage you do combine with a book is phenomenal.  <br> <strong>Please allow up to 24 hours for delivery of suits during busy times.</strong> <br> This mage suit is created using all the best ultima online artifacts and imbued pieces. The Mage suits are made as close to or better than listed stats because our goal is to make every customer happy.  

81/85/71/70/70
20 Mana Regeneration 
3 Hit Point Regeneration 
1 Stamina Regeneration 
28 Mana Increase 
15 Hit Point Increase
40 Lower Mana Cost 
100% Lower Reagent Cost 
7% Casting Focus 
150 Luck 
45% Defense Chance Increase 
104% Spell Damage Increase 
2 Faster Casting 
6 Faster Cast Recovery 
+10 Parrying 
+10 Evaluating Intelligence
+15 Resisting Spells 
15 Intelligence Bonus 
5 Dex Bonus
15 Poison Eater 
15% Reflect Physical Damage 


Artifacts Used In Suit Build:
Scholar's Halo 
Cuffs of the Archmage 
Protector of the Battle Mage 
Kelp Woven Leggings 
Leather Belt of Blackthorn (Crimson Cincture)
Hawkwinds Robe 
Jumus Sacred HIde 
Wizard's Curio 
Doublet Bearing The Crest Of Blackthorn (LT Sash)
MInax Sandals 
Hephaestus w/self repair
Pendant of the magi","81/85/71/70/70
22 Mana Regeneration 
6 Hit Point Regeneration 
1 Stamina Regeneration 
32 Mana Increase 
15 Hit Point Increase
40 Lower Mana Cost 
100% Lower Reagent Cost 
7% Casting Focus 
150 Luck 
45% Defense Chance Increase 
104% Spell Damage Increase 
2 Faster Casting 
6 Faster Cast Recovery 
+10 Parrying 
+10 Evaluating Intelligence
+15 Resisting Spells 
15 Intelligence Bonus 
5 Dex Bonus
15 Poison Eater 
15% Reflect Physical Damage ","pvmmage.png","pvmmage.png","89.99","7","0","0","mage","0",,"0","1",,,"3","0","2018-02-26"
"24","18x18 Felucia","Having an Ultima Online house in fel means that you are open to attack at any time and must be ready to defend yourself or run inside your home.  Want a 18x18 house custom suited to your needs? Add location notes to your order and i will hunt down and find you the perfect 18x18 fel house.","Biggest Custom Plot House","18x18plot.png","18x18plot.png","129.99","5","0","0",,"0",,"0","1",,,"3","0","2018-02-25"
"26","120 Animal Taming","The UO 120 animal taming power scroll makes it possible to tame the highest level monsters.  Animal taming power scrolls will change everything from taming success chance to control and even stable slots. You can only gain control over 5 slot pets by reaching the full cap via taming power scrolls. This is one of the hardest skills to train and get gains on so jewelry + this p-scroll is really helpful.  Allow your character to gain skill beyond 100 all the way to 120.  You need this scroll if you ever want to control pets like the triton.  Some people get tired of failing to tame over and over and decide the best thing to do is bring animal taming to 120.","Needed for tamers","pscrolls.png","pscrolls.png","1.49","11","0","0","tamer","0","legendary scroll of animal taming","0","1",,,"1","0","2018-03-02"
"27","120 Animal Lore","120 power scrolls are rare hard to come by, so buy it while you can. This animal lore power scroll is a must-have upgrade for any professional tamer who wishes to up their max animal lore level. Getting animal lore to 120 will help you control your pet on every command and is very helpful for any tamer. We carry all three of the animal lore scrolls you can find, transcendence, alacrity and power scrolls.  
","Needed for tamers","pscrolls.png","pscrolls.png","1.49","11","0","0","tamer","0","legendary scroll of animal lore","0","1",,,"1","0","2018-03-02"
"28","120 Anatomy","A anatomy power scroll is an unmatched scroll that players can eat and then enjoy faster, higher skill increase when training up their anatomy. Buy our UO 120 anatomy power scroll for your char or pet. Anatomy is used for multiple things such as helping the healing skill, adding base damage to attacks and helping your defensive chances. These anatomy scrolls can also be used on pets.  Every spawn will drop a total of 12 maximum scrolls if there someone protecting those who attack the champ.  Getting a 120 scroll in Ultima Online is hard but it's even harder to get one that it's for anatomy.","Anatomy power scroll - Max Level (120)","pscrolls.png","pscrolls.png","6.99","11","0","0","melee, ranged","0","legendary scroll of anatomy","0","1",,,"3","0","2018-03-02"
"29","120 Blacksmith","The blacksmith power scroll is the one and only item that can get your skill past GM level and allow you to make the hardest items. One of the most important crafting skills in UO is blacksmithing.  This scroll is necessary if you are going to become a weapon or armorsmith.  Allow your character to gain skill beyond 100 all the way to 120.","Power scroll for maxing blacksmith to 120.","pscrolls.png","pscrolls.png","3.99","11","0","0","crafter","0","legendary scroll of blacksmith","0","1",,,"5","0","2018-03-02"
"30","120 Bushido","A bushido power scroll is the only thing standing in the way from capping past 100 in the bushido skill. Getting a bushido scroll is extremely important now that the block percentage favors those with max bushido and 70 parrying to get a total of 28% block chance. Also known as power scrolls, these items raise the cap based on the level of the scroll.  We have every power scroll including this 120 bushido. Getting to 120 bushido allows you to max out the defensive chances evasion and successfully cast any bushido spell the first try.  ","UO 120 Bushido Power Scroll","pscrolls.png","pscrolls.png","1.49","11","0","0","melee , ranged","0","legendary scroll of bushido","0","1",,,"6","0","2018-03-02"
"31","120 Chivalry","Want to be able to spam holy light and kill everything around you? You will need to be at 120 chivalry. This powerscroll can also be used on pets. A legendary power scroll of Chivalry (+120)","UO 120 Chivalry Power Scroll","pscrolls.png","pscrolls.png","1.99","11","0","0","melee , ranged","0","legendary scroll of chivalry","0","1",,,"7","0","2018-03-02"
"32","120 Discordance","Find a scroll like this is hard because of how rare they are. The discordance power scroll is of legendary effect which grants the consumer +20 to the skill cap for discordance. Ultima Online's discordance scroll has the ability to raise the success chance and lets you target most bosses with your skill now. This skill allows you to lower all the stats and abilities of the toughest bosses in-game, cutting your time in half. You will need to be at 120 discordances to pull this off.  ",,"pscrolls.png","pscrolls.png","1.49","11","0","0","bard","0","legendary scroll of discordance","0","1",,,"8","0","2018-03-02"
"33","120 Evaluate Intelligence","120 Eval Int lets you cast magery spells as max base damage. Magery allows you to cast the spells without fail but eval int is how you do your damage. You will need to be at 120 Eval to pull this off. A legendary scroll of Evaluate Intelligence (+120).",,"pscrolls.png","pscrolls.png","1.49","11","0","0","mage, tamer","0","legendary scroll of eval","0","1",,,"8","0","2018-03-02"
"34","120 Fencing","Don't you want to be the best warrior in Ultima Online? To be that, you need to be effective at combat. You need to be able to out-hit your opponents and that's why you need a UO 120 fencing scroll.  Go to 120 Fencing, if you want to have the highest hit chance from skills. 120 fencing + 45 HCI + hit lower defense on a target will create the highest hit chance possible. This power scroll is needed for PVP and PvM characters to have the best survival. ",,"pscrolls.png","pscrolls.png","0.99","11","0","0","melee","0","legendary scroll of fencing","0","1",,,"9","0","2018-03-02"
"35","120 Fishing","A Fishing power scroll is incredibly rare and of the hardest power scrolls to get in Ultima Online.  If you're looking for sunken treasures of want to spawn some leviathan, then you need a UO 120 fishing scroll! There are so many things you can fish up. So you definitely want to max out fishing! 120 Power scrolls can be used by full subscription UO accounts and endless journey. New content has been added to UO in the latest patch making fishing one of the most important skills now.  These UO 120 fishing power scrolls will continue to go up in price as more people begin building characters for the new game content released.","A Legendary Power Scroll Of Fishing","pscrolls.png","pscrolls.png","22.99","11","0","0",,"0","legendary scroll of fishing","0","1",,,"10","0","2018-03-02"
"36","120 Focus","Focus is an important skill to have as it determines their gain rate for Stamina and mana. With the focus now being a primary skill for most pets, the focus power scrolls go out out stock fast. Ultima Online's Focus scrolls help regain hp, mana, and stamina back to any player or pet. The focus power scroll is a scroll intended to push the max level of your focus skill to 120 points points.  A legendary scroll of focus, but power scrolls can be used by free accounts as well as paid ones.","A Legendary Power Scroll Of Focus","pscrolls.png","pscrolls.png","2.49","11","0","0","melee, ranged","0","legendary scroll of focus","0","1",,,"11","0","2018-03-02"
"37","120 Healing","An Ultima Online healing power scroll is currently the only way to reach 4 second heals with band-aids. We sell healing power scrolls of any nature just ask us in live chat.  Having 120 healing allows you to resurrect players every time. Power scrolls can be used by anyone.",,"pscrolls.png","pscrolls.png","4.49","11","0","0","melee, ranged","0","legendary scroll of healing","0","1",,,"12","0","2018-03-02"
"38","120 Imbuing","This UO 120 Imbuing scroll will give you the greatest success when attempting to imbue properties onto items. Order the UO imbuing power scroll so you can craft with the best of them. Trying to level up your imbuing crafting skill to 120?   ","A Legendary Power Scroll Of Imbuing","pscrolls.png","pscrolls.png","2.49","11","0","0","crafter","0","legendary scroll of imbuing","0","1",,,"12","0","2018-03-02"
"39","120 Mace Fighting","Youll be crushing your opponents once you get this UO 120 Mace Fighting power scroll. Order a Mace Fighting Power Scroll - Max Level (120). Macing weapon do more damage to the armor durability of their opponents. Be the strongest fighter in pvp battles, your enemies won't stand a chance. ","UO Mace Fighting Scroll","pscrolls.png","pscrolls.png","1.99","11","0","0","melee","0","legendary scroll of mace","0","1",,NULL,"13","0","2018-03-02"
"40","120 Magery","The magery power scroll is an epic item for any mage looking to cap out the skill of your mage character.  If you're building to be a bad ass Ultima Online mage, 120 power scrolls are definitely required. Have your magery skill to 120 is especially important in PVP. If you buy this UO Magery Power Scroll it will allow you to cast 8th circle magery spells without ever having to worry about failing. With this Magery power scroll for sale, you will never be embarrassed by fizzling to resurrect a fallen teammate. Always be able to cast resurrection, earthquake, and drop energy vortex's once you are at 120 magery.  Every power scroll here is in stock and ready to be delivered.","UO Magery Power Scroll","pscrolls.png","pscrolls.png","4.99","11","0","0","mage, tamer","0","legendary scroll of magery","0","1",,,"14","0","2018-03-02"
"41","120 Meditation","The meditation power scroll is the best form of raising the magery cap in the Ultima Online game and grants higher casting success rates. Max out the mana regen on your suit with the bonus from UO meditation scroll.  This is used by most maged so that you don't have to wait for mana after spamming some spells.  When you have legendary meditation and a bunch of mana regeneration gear you will always have mana no matter how fast you cast spells.
",,"pscrolls.png","pscrolls.png","3.99","11","0","0","mage, tamer","0","legendary scroll of meditation","0","1",,,"15","0","2018-03-02"
"42","120 Musicianship","UO 120 Musicianship makes it possible to bard the highest level monsters.  
This is the base skill that goes hand and hand with discordance, peacemaking, provocation. Carpenters also need a decent amount of musicianship if they want to craft musical instruments. So Buy our UO Music scroll to get your music skill to 120 max without the hard work.","Power Scroll Of Musicianship","pscrolls.png","pscrolls.png","0.99","11","0","0",,"0","legendary scroll of music","0","1",,,"16","0","2018-03-02"
"43","120 Mysticism","Extend your learning cap to 120 with this power scroll. The Mysticism power scroll is an unbelievable addition to the already over-powered skill, in which players can summon powerful spells. A UO 120 Mysticism scroll is your only shot at having the highest and best magic skill.  Getting ultima online power scrolls are based on random luck which ones you get and how much intensity they have.  Instead of trying to complete spawns in Fel, stop wasting time and just grab your mysticism scrolls here. Buy our power scrolls and we will deliver in minutes. ",,"pscrolls.png","pscrolls.png","0.99","11","0","0","mage","0",,"0","1",,,"17","0","2018-03-02"
"44","120 Necromancy","So, are you making a necro? This UO 120 Necromancy scroll is the one and only way to change the maximum allowed skill cap.  Max out his skill no longer fail to cast any spells. Become the undead king of UO as legendary Necro.","120 Necro Power Scroll","pscrolls.png","pscrolls.png","0.99","11","0","0","mage","0",,"0","1",,,"18","0","2018-03-02"
"45","120 Ninjitsu","The Ninjitsu power scroll is a tremendous upgrade from the base ninjitsu skill because of more animal forms and stealth abilities when maxed out. Ninjitsu is a very hard skill to train but getting to 120 with this power scroll can be very rewarding! UO ninjutsu power scroll can be used by full subscription UO accounts and EJ.
","uo 120 Ninjitsu Power Scroll","pscrolls.png","pscrolls.png","1.49","11","0","0","melee, ranged, thief","0",,"0","1",,,"19","0","2018-03-02"
"46","120 Parrying","A UO Parrying 120 Power Scroll - Want to stand toe to toe and block blows from the toughest mobs and players? You are going to need 120 parry scroll if you want to survive. If you are working on a sampire in ultima online you will need both bushido and parry at max to get the best DCI with a 2-handed weapon. Get them here today while thry last.","120 Parry Scroll","pscrolls.png","pscrolls.png","8.99","11","0","0","melee, mage","0",,"0","1",,,"20","0","2018-03-02"
"47","120 Peacemaking","The Ultima Online peacemaking power scroll is required by any professional bard who wants to keep the peace or wants to stand a chance at hypnotizing the big bosses. This skill also requires musicianship, at 120 music and peacemaking you can peace almost any boss in the game. Get the highest level peacing making buffs once you are legendary status. Both peacemaking and musicianship power scrolls are available to buy. Just place an order and we will have it to you in minutes. 
 
",,"pscrolls.png","pscrolls.png","1.49","11","0","0",,"0",,"0","1",,,"21","0","2018-03-02"
"48","120 Provocation","The Provocation power scroll is a rediculous addon for your character in the Ultima Online game, which allows you the power to provoke the strongest adversaries. A UO Provocation power scroll (+120) is what you must have in order to be a master of minds.  Want to be able to stand in a group of monsters without being attacked because they are too busy fighting each other? UO 120 provocation power scroll is ready to be traded to you. Get bosses to fight each other with 120 provocation + music!  ",,"pscrolls.png","pscrolls.png","0.99","11","0","0",,"0",,"0","1",,,"22","0","2018-03-02"
"49","120 Resisting Spells","Buying up this UO resist power scroll will max out your resist cap which makes it so monsters can no longer drain your mana. Which is important for just about all classes. Having 120 resist is required in UO if you are PVPing. This allows you to escape paralyzing effects without the need of things like trapped boxes. Another cool effect of having 120 resistance is that blood oath can no longer get you killed. This is a must for most characters to buy.",,"pscrolls.png","pscrolls.png","9.99","11","0","0","warrior, mage, tamer, theif","0",,"0","1",,,"23","0","2018-03-02"
"50","120 Spellweaving","A UO 120 Spellweaving scroll will unlock the caps so you stop failing your hardest spells once the training is done. Currently selling a UO 120 Spellweaving power scroll to up your skill cap an extra 20 points. Every month I see more and more spell weavers.  This is a great skill for the word of death and very helpful for any PvM char to have. ",,"pscrolls.png","pscrolls.png","1.49","11","0","0",,"0",,"0","1",,,"24","0","2018-03-02"
"51","120 Spirit Speak","The spirit-speak power scroll is the only way to unlock higher spirit-speak skills and reach maximum damage with a Necromancer. A UO 120 Spirit Speak scroll is the only way to unlock the caps on your skill so you can gain further past 100. Spirit Speak is the damage modifier for necromancy. At 120 SS you can do maximum skill-based damage with necro spells and talk to the dead. As a ghost, this allows whatever you say to be seen and not rewritten as ""oo0o0ooo0o"" meaning you can still talk to the living. ",,"pscrolls.png","pscrolls.png","1.49","11","0","0",,"0",,"0","1",,,"25","0","2018-03-02"
"52","120 Stealing","A UO 120 stealing power scroll will send you on your way to robbing high level arties. This skill level is required to steal high level artifacts.  Steal-able artifacts spawn rarely. ",,"pscrolls.png","pscrolls.png","0.99","11","0","0","thief","0",,"0","1",,,"26","0","2018-03-02"
"53","120 Stealth","The stealth power scroll is the only item in the Ultima Online game that will let you train stealth skill up to 120 total. An Ultima Online 120 Stealth Power Scroll is a required item for UO characters to consume in order to get up to the max level.  Run around and remain hidden once you reach 120 stealth. Allow your character to gain skill beyond 100 all the way to 120 stealth with this UO power scroll. Become a shadow in the night once you are a master at stealth.","UO Power Scroll - Stealth","pscrolls.png","pscrolls.png","0.99","11","0","0","thief","0",,"0","1",,,"27","0","2018-03-02"
"54","120 Swordsmanship","The swordsmanship power scroll grants you the ability to keep training swordsmanship past 100 all the way to 120 which is the highest it goes. This scroll is very commonly used by Sampire classes or PVP warriors to dominate their opponents. Get this awesome UO 120 swordsmanship power scroll sent straight to your character on any server. Swordsmanship Power Scrolls can only dropped in Felucca and are cursed so they cannot be insured.  You must get the power scrolls to safety or consume it immediately, and the easy way to do that is buying it here! ","A Legendary Power Scroll +120","pscrolls.png","pscrolls.png","1.99","11","0","0","melee","0",,"0","1",,,"28","0","2018-03-02"
"55","120 Tactics","This power scroll is quite rare, and every Warrior needs this. The tactics power scroll is a requirement if you wish to do serious damage against your opponents. An Ultima Online tactics scroll will turn you into a insane damage-dealing beast, ready to fight the toughest foes. Your enemies don't stand a chance. Consume a UO tactics power scroll and then train up your skill to reach the highest possible skill level. Cap out your maximum base damage using this. Every serious warrior has to grab a 120 tactics power scroll. This tactics scroll could mean the difference between life and death.  This scroll is one of the most expensive in the game because of how low the drop rate is for Tactics.  If you have this power scroll and tactics SoT's you can raise your cap and then raise your skills to 120 instantly.","UO Tactics Power Scroll","pscrolls.png","pscrolls.png","11.99","11","0","0","melee, archer","0",,"0","1",,,"28","0","2018-03-02"
"56","120 Tailoring","A tailoring power scroll is an exquisite one use consumable item found in the Ultima Online game that allows you to train past the 100 cap level for tailoring. Having your tailoring skills maxed out will allowcyou to craft the coolest clothing in all of UO. Ultima Online's tailoring power scroll will push you to be the legendary crafter you've always wanted to me.  One of the common and most important crafting skills is tailoring and if you want to make the best gear your going to need level 120 skills. Get this and you will be able to make anything exceptional every time. Having max tailoring skills also helps with bod rewards and repair-deeds. This is a must-buy for any serious crafting player. ","UO Power Scroll - Tailoring","pscrolls.png","pscrolls.png","1.49","11","0","0","crafter","0",,"0","1",,,"29","0","2018-03-02"
"57","120 Throwing","The throwing power scroll is a cap increase meant to bring 120 for your throwing skills. 120 power scrolls are the highest level scroll you can get. Ultima Online's throwing power scrolls are the newest ranged combat skill added to the game and unfortunately only available to gargoyles. But throwing is great for still being able to hit monsters while they are far away and not have to run out of arrows, unlike archery because the weapon you throw always comes back to you.
 Allow your character to gain skill beyond 100 all the way to 120 Throwing. Become the king of blade hurling. Ready to take out an unsuspecting enemy? ","UO Power Scroll - Throwing","pscrolls.png","pscrolls.png","1.49","11","0","0","melee","0",,"0","1",,,"30","0","2018-03-02"
