"category_id","parent_category","name","description","bottom_desc","image"
"12","0","SOT Scrolls","The scrolls of transcendence are a unique item found in the Ultima Online game where players are able to eat scrolls one time and forever keep the added skills.  They are used in a magnificent way to bridge the gap for Ultima Online players who can't train any longer. Add instant points to your skill level. A scroll of transcendence is currently the fastest way to level up in UO.  They are randomly dropped with usually 0.6 - 0.9 points worth of whatever skill you find. If you have the money, SOTs can get you to 120. Finding all the UO sot scrolls to finish off a skill can be frustrating. These scrolls are NOT power scrolls.  Publish 57 changes were made to champion spawns that allow players to obtain random Scrolls of Transcendence (SoT). We hope this information was helpful as we remain a trusted source in the community.    Currently, the only way to obtain scrolls of transcendence is with treasure chests, as a drop from Corgul the Soulbinder and from Trader Quests.","<p>Scrolls of Transcendence in Ultima Online are highly coveted items that offer players a unique and powerful advantage in skill progression. These scrolls grant a direct and permanent increase in a specific skill, allowing characters to bypass the usual grind and instantly boost their abilities. Whether you're aiming to perfect your crafting skills, enhance your combat prowess, or master a new trade, Scrolls of Transcendence are the key to achieving rapid and significant growth in your chosen discipline. </p>

<p>Imagine the life of a devoted scholar, immersed in the ancient libraries and hidden archives of Britannia, always on the hunt for the elusive knowledge contained within Scrolls of Transcendence. These scrolls are more than mere parchment-they are treasures imbued with the wisdom of the ages, holding the secrets to unlocking unparalleled skill and mastery. </p> 

<p>As you unfurl a Scroll of Transcendence, the arcane symbols and inscriptions almost seem to glow with a life of their own. Each scroll offers an instant, permanent increase in a specific skill, bypassing the usual arduous training process. For a blacksmith striving to forge legendary weapons, a scroll that enhances smithing could mean the difference between ordinary tools and masterpieces of war. For a mage seeking to perfect their spellcasting, a scroll that boosts magery transforms simple incantations into potent spells of immense power. </p> 

<p>The acquisition of these scrolls is a journey in itself. They can be found in the depths of dungeons, guarded by fearsome monsters, or awarded for completing complex and dangerous quests. Each scroll you obtain is a testament to your dedication and perseverance, a reward for facing and overcoming the myriad challenges that Ultima Online presents.

<p>To use a Scroll of Transcendence is to experience an immediate and profound transformation. As the scroll's magic integrates with your essence, you feel a surge of knowledge and skill infuse your being. This instant enhancement propels you to new heights, allowing you to excel and thrive in your chosen path. It's like unlocking a door to limitless potential, opening up new opportunities and adventures. </p> 

<p>For those who seek to excel and dominate in their chosen fields, the pursuit of Scrolls of Transcendence is both a worthy endeavor and a strategic advantage. Whether you are crafting exquisite items, mastering the arts of combat, or delving into arcane mysteries, these scrolls provide the boost needed to reach the pinnacle of your abilities. Secure a Scroll of Transcendence and let it be your guide to unparalleled mastery in the legendary lands of Ultima Online. </p> ","scrollsoftranscendence.png"
"13","0","Alacrity Scrolls","In Ultima Online, Alacrity Scrolls are coveted items that provide a significant boost to skill gain for a short period, making them indispensable for players looking to advance their characters quickly. When used, these scrolls offer a substantial increase in the rate of skill progression, typically for a duration of 15 minutes. Each scroll is specific to a particular skill, allowing players to target and rapidly enhance their abilities in areas like blacksmithing, magery, or animal taming. Alacrity Scrolls are often obtained as rewards from events, quests, or treasure hunts, and their value varies based on the skill they enhance and their rarity. For players aiming to efficiently level up and excel in their chosen disciplines, acquiring these scrolls is a strategic move. Whether youâ€™re a seasoned player looking to fine-tune your skills or a newcomer wanting to catch up with veterans, Alacrity Scrolls offer a shortcut to achieving mastery in Ultima Online.  <BR><BR> 

In the mystical world of Ultima Online, Alacrity Scrolls are prized possessions that can rapidly accelerate your character's skill development, acting as a catalyst for swift progress. These scrolls provide a temporary but significant boost to skill gain, allowing you to master new abilities or enhance existing ones with remarkable speed. Imagine being able to refine your blacksmithing techniques or perfect your spellcasting repertoire in a fraction of the usual time, thanks to the potent effects of an Alacrity Scroll.

Each scroll is attuned to a specific skill, such as tailoring, magery, or fencing, and using one grants you an intensified rate of learning for a limited duration. This can be particularly valuable when you're working on those last, challenging points to reach grandmaster status or when you're eager to diversify your characterâ€™s abilities quickly. The effects last for about 15 minutes, during which every action in the relevant skill is supercharged, propelling your skill points upward at an accelerated pace. <BR><BR> 

Acquiring these scrolls often involves venturing into dangerous territories, participating in special events, or completing high-stakes quests, making each scroll a treasure in its own right. Whether youâ€™re a veteran looking to fine-tune your skills or a newcomer eager to catch up to more experienced players, Alacrity Scrolls provide a strategic advantage in the dynamic world of Ultima Online.  <BR><BR> 

For those who seek to transform their training sessions into rapid success stories, exploring the variety of Alacrity Scrolls available is a step toward mastering the expansive array of skills in Ultima Online. Embrace the magic of these scrolls and watch your characterâ€™s abilities flourish in record time.  <BR><BR> 

Scrolls of Alacrity - Get 15 minutes of power leveling increased gains as you work your skill. Trying to make the most of your taming training or just want to blaze through another skill? If you're looking for an easier way to level up whatever skill your working on, scrolls of alacrity are the way to go. These scrolls will give you more gains while you are using that skill, and I know I wish I had these when I was leveling up blacksmithing. These are different than <a href=""/UO/SOT_Scrolls"">Scrolls of Transcendence</a> and<a href=""/UO/Powerscrolls""> Power Scrolls</a> because they only help the speed of your gains.  You can also use <a href=""/UO/Gold"">UO Gold</a> and find these scrolls in-game to purchase off a vendor. ",,"alacrityscrolls.png"
"14","0","Resources","Ultima Online resources are essential materials found in Ultima Online that is used for crafting different things in a wide range of different crafts. Needs materials for your trade skills, just take a look at all of these epic UO resources.  We have everything from ingots to ingredients so that you can get any Ultima Online resources you need. Now with the new imbuing skill, we have added new Ultima Online resources to this section. Trying to level up blacksmith but don't want to waste all your time running around getting resources, or wasting all your gold on resources? Well, we can help you out, whatever resource you are looking for we can help you get, and also we can help you get these resources in bulk. all you have to do is speak with live chat and let them know what particular resource you are looking for. Don't waste time looking for UO resources, when you can buy them in bulk right here right now.",,"resources.png"
"15","0","Artifacts","The Ultima Online Artifacts are an important collection of random-chance loot drops that fall off monsters in the game, each serving a unique purpose.  Need to buy some of the best ultima online artifacts ? Artifacts are rare items with unique names that can be obtained by various means: using the Stealing skill to pilfer them from disparate locales, through specific monster drop systems, during events associated with game-wide fiction, or by crafting them using rare ingredients. These Ultima Online artifacts for sale and are dropped by different bosses. Here are the most popular artifact drops being used right now in ultima online. The products listed here are used to complete suits and add the extra bonuses that you normally wouldn't get. Having trouble finding the rare Artifacts that you are looking for to complete the perfect suit? Well, we have some of the rarest artifacts out there.  The artifacts here also include roof drops and peerless boss drops.",,"artifacts.png"
"16","0","Luck Gear","Here are the items for getting your suit to max luck. What luck does is intensifies the quality and property weight of the random stats given by the loot items. But when it comes to things like roof artifact drops, the top damage players are given higher chances to get the drops, and the luck suit is used for the actual loot drop items. The current max luck from a completed suit is 2530 Luck.  If you then add in the Luck bonus from the 10th Anniversary Sculpture, which is a base 200 Luck plus 50 Luck for each year of account age, thus resulting in a maximum attainable amount of 1200 Luck (on a 20-year-old account), the total becomes a Total: 2530 + 1200 = 3730 Luck.",,"luck-gear.png"
"19","0","Rares","The Ultima Online rares are an assortment of different spawning and non-spawning rare items that some can no longer be obtained unless traded from another player.  Are you looking for Ultima Online event items or rares? We are working hard to have everything from server births to EM drops. Take a look at the current UO rares we have for sale. Here you can buy UO rares for sale from different brokers.  They will meet you in-game and give you the rare item after payment and discussion.  Click on one of the rare items and then view the broker contact details in order to purchase with quick delivery.",,"rares.png"
"20","0","Legendary","Here are all the high-end legendary drops found in ultima online. These UO legendary items are not being sold for gold. Different sellers are in control of these listed items so please contact them directly before purchasing! UO Legendary pieces are dropped as loot from hard to kill monsters. Some pieces are rarer than others because they were looted before certain patches and are considered no-name legendary's. ",,
"21","0","Gear","The Ultima Online gear is an undeniable collection of every slot based equipment you can get for your ill equipt character. This category is dedicated to Ultima Online Gear, from weapons to armor for both PvP and PvM.  Find UO gear that has been sorted by every slot for your shopping convenience.  Buy wearable items for your Ultima Online characters including artifacts and craftable items.",,
"22","0","Weapons","The Ultima Online weapons are a collection of released items during different changes in Ultima Online ranging from Mondain's legacy all the way to endless journey. Ultima Online weapons have a unique ability that allows for many different combinations for specials and weapon properties.  We have a wide selection of weapons which include artifacts and crafted items.  Ultima Online weapons are a vital part of the game and can mean the difference between life or death for any player class.   <BR><BR>

If you are looking for PVP or PvM weapons, we have what you need. Buy the best UO weapons delivered by players with expertise in-game mechanics. Weapons can be one-handed or two and those that are two-handed can only be held while casting and drinking potions if it has special properties.  Spell channeling and Balanced are 2 special properties that will allow you to hold the Ultima Online weapon while doing other things like casting.  <strong>Weapon Types:</strong> Fencing, Macing, Swordsmanship, Archery and Throwing.  These weapons are all very useful, even some of the inexpensive ones because of their utility. <BR><BR>

Weapons are far more than tools of battleâ€”they are extensions of a playerâ€™s strategy and persona. Each weapon carries the potential to dramatically influence the flow of combat and the destiny of its wielder. From the elegantly crafted Kryss that strikes with speed and precision, to the formidable War Hammer that delivers crushing blows capable of turning the tide of a skirmish, the variety of armaments available caters to every playstyle and tactical approach.",,"weapons.png"
"23","21","Jewelry","The Ultima Online jewelry is an ever-changing collection of possible jewels that can be proudly worn in Ultima Online in order to compliment stats regarding your character's class. Ultima Online jewelry comes as either artifact drops, crafted and imbued, or from using trade in points to claim rewards.   Here are all the different kinds of Ultima Online jewelry you can buy and have sent to your toon on any shard.  UO jewelry comes from crafting, artifacts or drops from monsters. Check out the jewelry pieces for rings and bracelets. If you need jewelry for your character that you don't see here then just contact us and place a custom order.  ",,"jewelry.png"
"24","0","Spellbooks","The Ultima Online spellbooks are an item in the UO game, mainly used by mages for the casting abilities that most books have. Buy all of the top Ultima Online spellbooks for any mage or necro. Each Ultima Online spellbook can be quickly delivered to you on every shard. These Ultima Online spellbooks can be held while casting spells with any of the mage classes.  All of the Ultima Online spell books are sold here and delivered to your character in-game on the shard you want. You might also notice that most of Ultima Online spellbooks are automatically blessed and cannot be dropped upon death.  If you are playing an SDI PvM mage then you are going to want a spellbook with the highest spell damage possible.  We try to make sure all of the UO items you might be looking for are listed but if we forget anything, feel free to ask for it in Live Chat. This list of spellbooks covers everything from old to new.",,"spellbooks.png"
"25","0","Ships","Here is a list of the new high seas Ultima Online ships that were released in recent patches.  The biggest one of all is the Britainnian Ship but we have all of them for sale here. Ultima Online ships are a fun new content exploration in the game. It is required that the account has high seas in order to use it. There is a ton of new content related to Ultima online ships so get out there and enjoy the fun.",,"ships.png"
"26","0","Veteran Rewards","UO has been around for over 20 years and those who have been subscribing the longest, get new sets of rewards for every year. These are called Ultima Online Veteran Rewards and you get a select number of picks each year. Some are very useful while other Ultima Online veteran rewards are used mainly in decoration.  <strong>Any age Account can use the rewards except for shard shield.</strong>  Anyone can use vet rewards even if they aren't the right age. The age of the account is only for claiming them. ",,"veteran-rewards.png"
"27","0","Shields","The Ultima Online shields found here are only the useful/valuable ones that players might still need during these times.  Some of the most important shields for a mage include spell channeling so you can hold the shield and still cast spells. There are also some imbued Ultima Online shields that people request along with all of the well-known artifact shields. Weather you're looking for fashionable Ultima Online shields or one for defense, UOking has what you're looking for. 

</p><p> You can buy UO shields here and then pick them up at Luna bank.  You can not hold two-handed weapons and a shield at the same time.  

We will soon be adding legendary drop shields for the 30% soul charge. If you are looking for a shield for sale that you do not see here, just ask live chat for it.",,"shields.png"
"28","21","Talismans","Talismans are not just accessories; they are companions that augment your character's strengths and mitigate their weaknesses. Each talisman is a key to unlocking new strategies and capabilities, be it through enhancing your crafting efficiency, increasing your combat survivability, or providing rare and specialized abilities like summoning creatures or resisting specific types of damage. These items often require players to embark on daring quests, conquer formidable foes, or delve into the deepest dungeons to acquire, making each talisman a trophy of your characterâ€™s enduring spirit and resolve. <BR><BR>

The talismans are part of the items list for your Ultima Online character and can only be equipped in the talisman slot on your paper doll. Each UO talisman can make a huge difference based on the style you are playing.  From crafting bonus's to super slayers, these items will help you reach max in whatever class you on. Some Ultima Online Talismans drop as loot in places like Shadowguard while others are purchased with spring cleanup points. ",,"talismans.png"
"29","0","Power Leveling","The power leveling in Ultima Online has two forms these days, skill training or using scrolls of transcendence to skip past training.  Ultima Online Power leveling is when someone usually goes onto your account and raises your skill levels.  However, with the use of transcendence scrolls and mythic tokens, we can offer complete templates ready to go.  First, you use the mythic token, then the power scrolls and then the transcendence scrolls!  Check out some of the full template character packages listed here below.  Ultima Online power leveling has never been easier now that we don't even have to log into your account!",,"powerleveling.png"
"30","21","Robes","The Ultima Online robes are very rare when it comes to which stats you get on every robe.  Some robes are very important because of the luck bonus while others become popular due to the skill bonuses. Other Ultima Online robes can be used for getting that extra defense change increase to max out your suit. We have every type of Ultima Online robes for your character ready to be bought at any time. A variety of Ultima Online robes for sale here cover many types such as luck robes, artifact robes, rare robes, and many others.  Mouse over the images to see the details or click on each for more information.",,"robes.png"
"31","0","Hair Dyes","The Ultima Online hair dyes are sold here from rare drops from peerless bosses and from the new pigment system. Get special hair dye for sale to complete your characters look in the Ultima Online game.  These dyes are 1-time use only and cannot be used again, so for multiple characters, you will need multiple dyes.  The most popular hair dye colors used are pink, purple, white, Europa gold, and glacial blue. We worked hard to stock all of the different colors and continue to add more. Pick from your favorite colors to upgrade the look of your toons hair.

You should always try to look your best in UO. Everyone's first impression of you usually depends on the way you look or dress.  This is why keeping a unique hairstyle and color that is unique to your character is important. Need a color that isn't listed here, then just send us a message on live chat.",,"hairdyes.png"
"32","21","Head","These Ultima Online head slot items are a collection of every helm, mask, and bandana's that players use to build their suits. These Ultima Online head pieces include the oldest and newest editions to the game and cover many different ways a player can choose what helm to wear. Get Ultima Online head slot armor pieces listed here at great prices for all of your Ultima Online characters. This full list of premium UO head armor is for sale and ready to be delivered.",,"headarmor.png"
"33","21","Footwear","The list of Ultima Online footwear consists of sandals and boots meant for looks as well as extra stats for your characters.  Get the rare UO footwear so you can walk around in style everywhere you go in the game.  Buy Ultima Online footwear items and we will slap them on your feet right after the payment is made.",,"footwear.png"
"34","21","Neck Armor","your neck slot item is not just a piece of gearâ€”itâ€™s a symbol of your journey and the silent strength that guides you through the dangers of Britannia. Imagine slipping on the Jackalâ€™s Collar, its shimmering links resonating with the energy of countless battles fought and victories won. Each neck slot item you equip is a testament to your character's resilience and the trials youâ€™ve overcome.

Picture the Voice of the Fallen King resting on your shoulders, its intricate design a tribute to ancient legends and lost heroes. This gorget doesnâ€™t just shield you from harm; it connects you to the echoes of the past, fortifying your spirit as much as your body. Or consider the Pendant of the Magi, glowing softly with arcane power, a beacon of the boundless magic that flows through you, ready to be unleashed in the heat of battle.

Every neck slot item in Ultima Online tells a story, whether itâ€™s the Lavaliere, balancing protection and versatility, or the Ankh Pendant, offering spiritual and physical resilience. Acquiring these treasures often means delving into the heart of danger, striking deals in bustling markets, or achieving feats of great valor and skill.",,"neckarmor.png"
"35","21","Chest Armor","The chest armor is a list of different highly sought after chest pieces which include imbued crafted chest armor, artifact chest armor, and legendary drops.  Ultima Online chest armor is great for filling parts of a suit after applying artifacts to the other slots.   All of these chest armor pieces are meant to help players of different builds get important armor they need. ",,"chest-armor.png"
"36","21","Leg Armor","The Ultima Online leg armor is a list of items that can be equipped into the leg slot of your paper doll.  Ultima Online leg armor varies as expansions are released but we keep you up to date on the relevant and useful things now.  We have artifacts and drops to help you get the right stats.  Acquiring these items often involves crafting with rare materials, completing challenging quests, or defeating powerful enemies. For instance, the Leggings of Bane might be the prize for conquering a fearsome dungeon, while the Leather Ninja Pants could be crafted by a master tailor using exotic hides. Each piece contributes to a balanced armor set, offering the flexibility to tailor your characterâ€™s build to your preferred playstyle, whether it be as a resilient tank, a swift rogue, or a mystical mage.",,"legarmor.png"
"37","0","Accounts","The Ultima Online Accounts are created and skilled by us using items found in the game like mythic tokens and power scrolls.  Every single Ultima Online account for sale will have the time of legends and high seas expansion enabled. We take the order and then create the characters on a fresh account and max them all out until they are complete. After the account is ready you will receive the details via email so that you can link it to your ea games and change the password, whatever needs to be done.  If you are having any issues at all with the product or the account itself please do not hesitate to reach out to us on email or live chat so we can help you. Below are some examples of Ultima Online accounts for sale that we can build for you but speak to our live chat for a custom account order. 

Owning a Ultima Online account is your gateway to a richly detailed and immersive MMORPG experience that has captivated players since 1997. Whether you're a seasoned veteran or a newcomer to the game, purchasing a Ultima Online account can offer numerous advantages. Accounts come in various levels of development, from freshly created characters to well-established avatars with years of accumulated skills, rare items, and wealth. Many accounts for sale feature characters with high-level combat and crafting abilities, exceptional housing, and exclusive rewards from past expansions and events. Buying a developed account allows players to dive straight into the higher echelons of gameplay, exploring deep dungeons, battling powerful foes, or mastering trades without the grind. Additionally, accounts with unique, custom-built characters or properties can provide a unique starting point for personalized adventures in the game's expansive world. When selecting an account, consider the characterâ€™s skills, items, and in-game assets to find the perfect fit for your Ultima Online journey.",,"accounts.png"
"38","21","Glove Armor","These Ultima Online gloves are gathered here by a list of the most popular ones in-game today.  You can receive glove armor in a variety of way.  One way you can get glove armor is from monster drops. Another way you can receive glove armor is a blacksmith or a tailor depending on the type of armor your character is using.  There is a total of 6 armor slots, glove is the major armor slot used. On Uoking you can find all the different types of glove armor that is available from crafted armor to various armor drops.",,"gloves.png"
"39","0","Recipes","Picture yourself as an artisan in the bustling world of Ultima Online, where Recipes are the blueprints to boundless creativity and power. These cherished scrolls hold the secrets to crafting extraordinary items that can define your characterâ€™s journey and stature in Britannia. Imagine discovering a recipe for the Ornate Rune Blade, a weapon whose crafting process is as intricate as its devastating edge. Each stroke of your hammer or brush of your pen brings this legendary item closer to reality, blending your skill with the ancient knowledge contained within the recipe. The Ultima Online recipes are a crafting edition added to the game which unlocked the knowledge to craft rare items. These recipes are in stock and ready to be bought by a lucky UO player.  Get crafting the top items and their new looks with each of these Ultima Online recipes. Here is a list of all the recipes recently released in Ultima Online's latest updates:",,"recipes.png"
"40","21","Sleeve Armor","This list of sleeve armors ranges from artifacts to legendary drops, some of which are widely used by most players.  Sleeve armor or bracers are one of the six armor slots you are allowed to equip in Ultima Online. Check out our armor products all of which are meant for the sleeve slot. ",,"sleeve-armor.png"
"41","0","Dye Tubs","These dye tubs are from all sorts of different things but each serves a unique purpose in dying something.  Sometimes it's leather or cloth or even a special color but each dye tub is important in its own way.  People love to dye things different colors in Ultima Online as they do in real life too. Veteran reward dye tubs can still be used by any player who has possession of them.  Black and white are part of the rare dye tub colors that are obtainable.  There is currently a total of 11 different tubs available listed here.",,"dye-tubs.png"
"42","21","Sashes","Ultima Online Sashes are special clothing equipped over the tops of armor for final look and stats in Ultima Online. Our list of UO sashes has some that are good for use and others meant for rarity and display. These Ultima Online sashes for sale will help complete your character's final look. ",,"sashes.png"
"43","0","Mastery Primers","<strong>The Ultima Online mastery primers are currently only available on: Atlantic</strong>. On Atlantic shard we have every primer you would need ready for delivery.  These items are consumed one time only use to unlock level 3 mastery bonus for 1 skill.  These items are shard bound which means you can not take them to other shards unless you consume it and then transfer your character.  Each primer unlocks a different set of abilities based on the skill you choose to activate. The most desired Ultima Online mastery primer is the animal taming one.",,"mastery-primers.png"
"44","0","Decorations","Imagine stepping into your home in Ultima Online and being greeted by a scene that tells the story of your adventures and aspirations. Decoration Items in this classic MMORPG are not merely objects; they are the threads that weave the tapestry of your personal narrative within the game. Envision a Grandfather Clock ticking away in the corner, each chime a reminder of the countless quests undertaken and battles fought. Picture a Gargoyle Statue, a silent guardian of your realm, standing resolute at the entrance, its eyes reflecting the glory and challenges of your journey. <BR><BR>

This list of Ultima Online decorations from Ultima Online is a popular list of house decoration items used by players to make unique homes in the game.   Take a look at all the different ways to customize.  One thing UO doesn't run out of is different kinds of home decoration items. Make unique rooms and layouts in any home, you can even create themes.",,"decorations.png"
"45","21","Cloaks Quivers","Check out the completed list of all products for quivers and cloak slot for your character. UO cloaks & quivers are a back slot item and only 1 can be equipped at a time.  We will continue to add any new cloaks  that are released in Ultima Online. Now is a great time to shop for the right UO quiver for your character.  Among the most popular items for this slot is the rangers cloak and the despicable quiver.",,"cloakofsilence.png"
"46","0","Runics","Here are all the Ultima Online runics crafting tools which are reward's in Ultima Online, given by the completion of bods and quests. If your goal is to re-forge with the Ultima Online runics, you must have high imbuing skill and be next to a soul forge.  Based on the level of settings and what you choose to aim for during re-forging will decide how many runic charges get used per attempt.",,"runics.png"
